A Bad Haircut	The perfect start to a bad hair day. [Core Expansion 1, Party Box]
Atlantis	Mythological city where the folks had that sinking feeling. [Core Expansion 2, Party Box]
Atomic Bombs	The Italian physicist Enrico Fermi succeeded in producing the first nuclear chain reaction in 1942, at the University of Chicago. [Core Set, Party Box]
Attack On Pearl Harbor	"Yesterday, December 7th, 1941, a date which will live in infamy ..." -Franklin D. Roosevelt [Core Set, Party Box]
Austin Powers	Fictional British man of mystery. Yeah, bay-beee, yeah! [Core Expansion 1, Party Box]
Babe Ruth	1895-1948, American baseball legend, and one heck of a candy bar! [Core Set, Party Box]
Babies	Little bundles of joy ... and who needs sleep, anyway? [Core Expansion 2, Party Box]
Baby Dolls	Some of them talk, some of them walk, and some even wet their pants! [Kids Set]
Baby Showers	Baby showers may bring flowers ... [Core Set, Party Box]
Backstreet Boys	The latest American pop boy band. Which one do you think is the cutest? [Core Expansion 1, Party Box]
Bacon	Meat from a pig, flavored with salt and smoke. Oink! [Junior Set (1st) & (2nd)]
Bad Dogs	Bad dog, bad dog. What'cha gonna do? [Core Set, Party Box]
Bagels And Lox	A perfect snack for salmon-chanted evening ... [Core Expansion 3, Party Box Expansion 1]
Bagpipes	A shrill-toned musical instrument consisting of a leather bag and pipes. Also available in plaid. [Core Expansion 1, Party Box]
Baked Beans	Add a little bacon, brown sugar and Beano! [Core Expansion 2, Party Box]
Baked Potatoes	Hot potato, couch potato, potato head, twice baked, half-baked, ... whatever. [Core Set, Party Box]
Baking Cookies	An experience only surpassed by eating them. [Core Expansion 1, Party Box]
Bald Eagles	Known for their majestic appearance and powerful flight. In 1782, the bald eagle was chosen as the emblem of the United States. [Core Expansion 1, Party Box]
Ball & Chain	Don't let it get you down. [Core Expansion 4, Party Box Expansion 1]
Ballerinas	Beautiful, graceful dancers who are always on their toes. [Core Expansion 1, Party Box]
Balloons	Lots of colors, shapes, and sizes. [Kids Set]
Ballroom Dancing	Fox-trots, tangos, cha-chas, and more! Are you ready to rumba? [Core Expansion 3, Party Box Expansion 1]
Band-Aids	Available in lots of colors and shapes. A fun way to cover cuts and scrapes. [Junior Set (1st) & (2nd)]
Bangkok	Capital of Thailand. Location: near the Gulf of Siam. Population: five million. Reputation: seedy. [Core Set, Party Box]
Bankruptcy	It'll be the debt of you. [Core Expansion 2, Party Box]
Barbara Walters	1931- , American television journalist and author. Voted one of the most important women of the century by "Ladies Home Journal." [Core Expansion 1, Party Box]
Barbed Wire	Wire with sharp points, used for fences. Created havoc on the western frontier. [Core Expansion 1, Party Box]
Barbie & Ken	Ah, to be blond and plastic... [Core Expansion 4, Party Box Expansion 1]
Barfing	We didn't want to bring that up ... [Core Set, Party Box]
Barney	Purple dinosaur. "I love you, you love me, blah, blah, blah ... " [Core Set, Party Box]
Bart Simpson	Fictional animated character. Don't have a cow, man!" [Core Set, Party Box]
Baseball	Its one, two, three strikes you're out . . . [Core Expansion 3, Party Box Expansion 1]
Baseball Fields	It's 90 feet from home plate to first base. But it seems longer when you're trying to reach it! [Junior Set (2nd)]
Bates Motel	The haunt of Alfred Hitchcock's psycho, Norman Bates ... and mother, of course ... [Core Expansion 2, Party Box]
Batman	How does Batman's mother call him home? "Dinner, dinner, dinner, dinner, dinner, dinner, dinner, dinner - BATMAN!" [Core Expansion 2, Party Box]
Batman & Robin	Superheroes or vigilantes, you make the call. [Core Expansion 4, Party Box Expansion 1]
Bats	The little brown bat consumes as many as 600 mosquitoes in an hour. The vampire bat dines elsewhere ... [Core Expansion 1, Party Box]
Bats & Balls	At least they don't go on strike. [Core Expansion 4, Party Box Expansion 1]
BB Guns	You'll shoot your eye out!" [Core Expansion 3, Party Box Expansion 1]
Beach Parties	Up for some "Beach Blanket Bingo," Annette? [Core Expansion 1, Party Box]
Beanbag Chairs	For beanbag butts . . . [Core Expansion 3, Party Box Expansion 1]
Beanie Babies	Tiny plush collectible to love and cherish. Don't take that tag off! [Core Expansion 1, Party Box]
Bears	Large, shaggy animals with sharp claws and little tails. Sometimes they are named Teddy. [Kids Set]
Beauty & The Beast	A French fairy tale, animated by Disney in 1991. [Core Expansion 4, Party Box Expansion 1]
Beauty And The Beast	A tale as old as time ... so Disney didn't have to pay royalties. [Core Expansion 2, Party Box]
Beavis & Butt-Head	He said "butt." Huh-huh. Huh-huh. [Core Expansion 4, Party Box Expansion 1]
Bed & Breakfast	Not the same as breakfast in bed. [Core Expansion 4, Party Box Expansion 1]
Beef Stew	Meat, potatoes, carrots, onions... [Junior Set (2nd)]
Beer	"Beer is proof that God loves us and wants us to be happy." - Benjamin Franklin [Core Expansion 2, Party Box]
Beer & Pretzels	"these pretzels are making me thirsty" - Cosmo Kramer, Seinfeld [Core Expansion 4, Party Box Expansion 1]
Beer Bellies	Just think of them as microbreweries. [Core Expansion 1, Party Box]
Beethoven	1770-1827, German composer, considered one of the greatest of the western world. [Core Set, Party Box]
Beets	Beats Brussels sprout. [Core Expansion 2, Party Box]
Being & Nothingness	Jean Paul Satre's 1943 work based on the distinction between things that exist by themselves and those that exist for themselves. [Core Expansion 4, Party Box Expansion 1]
Being In Love	"Love's like the measles, all the worse when it comes late." -Douglas Jerrold [Core Set, Party Box]
Bell-Bottoms	Bell-bottoms and pea coats -who would have thought the Navy could be such a trendsetter? [Core Expansion 1, Party Box]
Bells & Whistles	It's got everything! [Core Expansion 4, Party Box Expansion 1]
Ben Stiller	1965-, American actor, director, and funny guy of Reality Bites, There's Something About Mary, and Meet The Parents [Core Expansion 2, Party Box]
Berlin	1945 - Adolph Hitler's last stand. Bunker ... I mean -hunker down, soldier. [Core Set, Party Box]
Bert & Ernie	Sesame Street's muppet buddies. [Core Expansion 4, Party Box Expansion 1]
Bigfoot	Legendary North American monster, a.k.a. Sasquatch or the Abominable Snowman. [Core Expansion 1, Party Box]
Big Bang Theory	A cosmological theory for the origin of the universe. An explosive idea! [Core Expansion 2, Party Box]
Big Bird	Beloved Sesame Street character, or the not-necessarily-beloved U.S. spy satellite. [Core Expansion 3, Party Box Expansion 1]
Big Cities	Very large towns, like New York, Los Angeles and Chicago. [Kids Set]
Big Macs	T w o a l l b e e f p a t t i e s s p e c i a l s a u c e l e t t u c e c h e e s e p i c k l e s o n i o n s o n a s e s a m e s e e d b u n . [Core Expansion 2, Party Box]
Bill & Ted	Characters in Keanu Reeves' excellent time-travel adventure film. Yeah, dude. [Core Expansion 4, Party Box Expansion 1]
Bill Clinton	1946- , popular, yet embattled, 42nd president of the United States. [Core Set, Party Box]
Bill Gates	1955-, chairman and chief software architect of Microsoft Corporation. A very rich guy. [Core Set, Party Box]
Bill Murray	1950-, American actor and comedian. Star of Ghostbusters, Stripes, Groundhog Day, and Lost In Translation. [Core Expansion 2, Party Box]
Billboards	Only 1,254 miles to Wall Drug ... [Core Set, Party Box]
Billy Crystal	1947-, American comedian, actor and director. He looks maaaaah-velous. [Core Expansion 3, Party Box Expansion 1]
Bingo	"There was a farmer, had a dog, and Bingo was his name-o ..." [Core Expansion 2, Party Box]
Bird Watching	A hobby that relies on a wing and a prayer. [Core Expansion 1, Party Box]
Birthday Cake	What kind of cake, white or chocolate? [Kids Set]
Black Cats	It's bad luck if they cross your path. You might step in a hairball! [Core Expansion 3, Party Box Expansion 1]
Black Holes	The gravitational field of a black hole is so strong that nothing, including light, can escape from its vicinity. [Core Set, Party Box]
Black Licorice	Alexander the Great and Julius Caesar both endorsed the beneficial properties of Licorice. No word on black jelly beans . . . [Core Expansion 3, Party Box Expansion 1]
Black Lingerie	Victoria's REAL secret: selling skimpy negligees at hefty price . . . [Core Expansion 3, Party Box Expansion 1]
Black Velvet	Smooth, silky and sophisticated ... until you paint an Elvis on it. [Core Expansion 2, Party Box]
Blackouts	They can occur at any [Core Expansion 3, Party Box Expansion 1]
Blizzard	Extreme cold, strong winds, and a head snowfall. Also known as Canada. [Core Set, Party Box]
Blood	A healthy human body contains between five and six quarts of blood. Bloody right they do! [Core Set, Party Box]
Blood & Tears	Don't forget the sweat. [Core Expansion 4, Party Box Expansion 1]
Blowing Your Nose	Please use a tissue! [Kids Set]
Blue Velvet	An elegant, textured fabric, Bobby Vinton love song, or David Lynch's bizarre 1986 film about the dark side of small-town America. [Core Expansion 3, Party Box Expansion 1]
Board Games	Games have been played for thousands of years. Some games of Monopoly just SEEM that long. [Core Expansion 2, Party Box]
Boardwalk & Park Place	Top of the line in the real estate game. [Core Expansion 4, Party Box Expansion 1]
Body & Soul	Just tryin' to keep it all together. [Core Expansion 4, Party Box Expansion 1]
Body Odor	Over $1.6 billion is spent each year on antiperspirants in the United States. That stinks! [Core Expansion 2, Party Box]
Body Piercing	YOU STUCK WHAT? WHERE? [Core Expansion 2, Party Box]
Body Snatchers	We'd be worried, but nobody would want to snatch OUR bodies . . . [Core Expansion 3, Party Box Expansion 1]
Body Surfing	When you're too cheap to buy a surfboard. [Core Set, Party Box]
Bodybuilders	If you build it they will come. [Core Expansion 3, Party Box Expansion 1]
Bonbons	Sweets for the sweet ... [Core Set, Party Box]
Bongos	Small drums played with the fingers. Used in Latin American and African music. The choice of American beat poets. [Core Expansion 1, Party Box]
Bonnie & Clyde	American outlaws of the 1920s, played by Faye Dunaway and Warren Beatty in the 1967 film. [Core Expansion 4, Party Box Expansion 1]
Bora Bora	Volcanic island in the Pacific. Good oranges and vanilla. [Core Expansion 3, Party Box Expansion 1]
Bottled Water	How much are you willing to pay for something you can get for free? [Core Expansion 2, Party Box]
Bow & Arrows	More effective than sticks and stones. [Core Expansion 4, Party Box Expansion 1]
Bowling	Three strikes and you're in. [Core Expansion 3, Party Box Expansion 1]
Boxing	An ancient and honorable sport - not just for boys anymore ... [Core Expansion 2, Party Box]
Boy Scouts	International organization for boys and young men founded in England in 1908, to foster character, citizenship and outdoor life. [Core Expansion 2, Party Box]
Boyfriends	"My boyfriend's back and you're gonna be in trouble." - The Angels [Core Expansion 2, Party Box]
Boys	"Snips and snails and puppy dog tails." [Kids Set]
Brad Pitt	1963- , American actor and heart-throb. [Core Set, Party Box]
Brain Surgeons	Hey, it ain't brain surgery ... oh ... wait a second ... [Core Expansion 1, Party Box]
Brains	Vital to human existence and mad scientists. [Core Expansion 2, Party Box]
Bread & Water	Make that a baguette and a bottle of Perrier. [Core Expansion 4, Party Box Expansion 1]
Breaking & Entering	"Honest, Officer, I lost my keys." [Core Expansion 4, Party Box Expansion 1]
Bride & Groom	"With this ring..." [Core Expansion 4, Party Box Expansion 1]
Britney Spears	1981-, American singer. From mouseketeer to international pop star. [Core Expansion 1, Party Box]
Broadway	The New York theater district. "They say the neon lights shine bright on Broadway." -Barry Mann [Core Expansion 2, Party Box]
Brooks & Dunn	Extremely successful country & honky-tonk music duo. "If they don't dance, you're dead." - Ronnie Dunn [Core Expansion 4, Party Box Expansion 1]
Brothers & Sisters	"You can pick your friends, but..." [Core Expansion 4, Party Box Expansion 1]
Bruce Willis	1955- , Diehard American action movie star who has moonlighted on TV. He also starred in Pulp Fiction, Armageddon and The Sixth Sense. [Core Expansion 2, Party Box]
Brushing Your Teeth	Oh! What's that gunk stuck on your teeth? [Junior Set (1st) & (2nd)]
Bubble Gum	Crack it, snap it, pop it, and blow it! [Core Expansion 2, Party Box]
Bubbles	"Tiny bubbles, in the wine/ Tiny bubble make me feel fine ..." -Don Ho [Core Set, Party Box]
Buffalo	A large animal with a big, shaggy head and a hump on its back, native to North America. [Junior Set (1st) & (2nd)]
Bugs Bunny	A tall, skinny cartoon rabbit. "What's up, Doc?" [Kids Set]
Bulls & Bears	On or off Wall Street. [Core Expansion 4, Party Box Expansion 1]
Bullwinkle	As in the cartoon "The Adventures of Rocky and Bullwinkle" - the moose half of moose and squirrel. [Core Expansion 1, Party Box]
Bumper Cars	Much like rush hour in Chicago. [Core Expansion 3, Party Box Expansion 1]
Bumper Stickers	Your personal billboard! [Core Expansion 1, Party Box]
Bungee Jumping	Another sport hanging on by a thread. [Core Set, Party Box]
Burger & Fries	You want flies with that?" [Core Expansion 4, Party Box Expansion 1]
Bus Drivers	Don't bother the bus driver. [Junior Set (1st) & (2nd)]
Buttons & Bows	Cute as a button, or a bow. [Core Expansion 4, Party Box Expansion 1]
Buying A House	If only we had the money, we could get a mortgage. [Core Expansion 1, Party Box]
Cabbage	From the French word caboche, meaning "big head." [Core Expansion 2, Party Box]
Cactus	Require little care and exhibit bizarre forms. As such, they are often mistaken for Survivalists. [Core Set, Party Box]
California	Sacramento is its capital, Los Angeles its largest city. Here we come. [Core Set, Party Box]
Calvin & Hobbs	Bill Waterson's late, great comic strip featuring a little boy and his tiger. [Core Expansion 4, Party Box Expansion 1]
Camelot	"On second though, let's not go to Camelot. 'Tis a silly place." - King Arthur, Monty Python and the Holy Grail [Core Expansion 3, Party Box Expansion 1]
Cameras	"And this is a picture from our summer vacation..." [Junior Set (2nd)]
Camping	Shhh! Did you hear that noise? [Junior Set (1st) & (2nd)]
Camping Trip	When you just have to get s'more nature. [Core Expansion 2, Party Box]
Canada	Federated country of North America. The Great White North - eh? [Core Set, Party Box]
Canadians	How many Canadians does it take to screw in a lightbulb? Fifteen. Fourteen to chip it out of the ice, and one to screw it in. [Core Set, Party Box]
Candy	Lollipops, jelly beans, chocolates, and lots more. All the good stuff! [Kids Set]
Canoes	Light, narrow boats. Don't stand up! [Junior Set (1st) & (2nd)]
Captain Kirk	Fictional starship captain. "Beam me up Scotty, there is no intelligent life on this planet!" - bumper sticker, 1980s [Core Set, Party Box]
Car Bombs	Not including the Ford Pinto, of course. [Core Expansion 1, Party Box]
Car Horns	Blow it, buddy! [Core Set, Party Box]
Carl Sagan	1934-96, American astronomer and pioneer exobiologist. Touched many lives. Billions and billions of them. [Core Set, Party Box]
Carlos Santana	1947-, guitar legend and member of the Rock and Roll Hall of Fame. Truly Supernatural. [Core Expansion 3, Party Box Expansion 1]
Carnival Workers	Step right up ... [Core Expansion 1, Party Box]
Carrot & A Stick	The ultimate motivator... for a donkey. [Core Expansion 4, Party Box Expansion 1]
Cary Grant	1904-86, British-born American actor known for his debonair manner. He can be found North by Northwest. [Core Expansion 2, Party Box]
Casablanca	The largest city in Morocco, and one heck of a good movie. "Of all the gin joints in all the towns in all the world..." [Core Expansion 2, Party Box]
Casinos	Slots and slots of fun. [Core Expansion 1, Party Box]
Castles	Kings, queens, knights in shining armor, and little square hamburgers. [Core Expansion 2, Party Box]
Cat & Mouse	It's just a game. [Core Expansion 4, Party Box Expansion 1]
Catherine Zeta-Jones	1969-, Welsh born actor, famous for her stunning good looks, as seen in The Mask Of Zorro, Entrapment and Traffic. [Core Expansion 3, Party Box Expansion 1]
Cats & Dogs	Is it raining? [Core Expansion 4, Party Box Expansion 1]
Catsup & Mustard	The salsa revolution brought down their condiment empire. [Core Expansion 4, Party Box Expansion 1]
Cavities	But I did brush my teeth! [Junior Set (2nd)]
Cauliflower	Goes down easy when it's cheesy. [Core Expansion 3, Party Box Expansion 1]
Caves	Stalactites, stalagmites. Which go up and which go down? [Core Expansion 1, Party Box]
Caviar	It's not JUST fish eggs. It's . . . fish eggs . . . that cost a fortune . . . [Core Expansion 3, Party Box Expansion 1]
Celine Dion	1968-, Canadian singer whose heart will go on, and on ... [Core Set, Party Box]
Cell Phones	Get off the phone or get off the road! [Core Expansion 1, Party Box]
Cesar Chavez	1927-93, American labor leader who led the 1965 nationwide boycott of California grapes ... a bunch of sour grapes! [Core Expansion 1, Party Box]
Chain Letters	Send this game to ten of your friends and good luck will follow. Honest! [Core Expansion 1, Party Box]
Chain Link Fences	Good fences make good neighbors. [Core Expansion 3, Party Box Expansion 1]
Chains	Gold or iron: name your shackles. [Core Set, Party Box]
Challenger Explosion	"Without a wish, without a will/ I stood upon that silent hill/ and stared into the sky ..." - Ralph Hodgeson [Core Set, Party Box]
Chameleons	The chameleon is a lizard that changes color when frightened -or is that a politician? [Core Expansion 1, Party Box]
Charging Rhinos	How do you stop a rhino from charging? Take away its credit cards. [Core Set, Party Box]
Charles & Diana	A right royal marriage. [Core Expansion 4, Party Box Expansion 1]
Charlotte's Web	Award-winning book by E.B. White featuring Charlotte the spider, and a pig named Wilbur. [Junior Set (2nd)]
Chat Rooms	Electronic speakeasies for the information age. [Core Expansion 3, Party Box Expansion 1]
Cheese	Swiss cheese, American cheese, cottage cheese. Say cheese! [Kids Set]
Cheesecake	A really tasty dish. [Core Expansion 1, Party Box]
Cher	1946- , American singer and actor, she makes aging look good. [Core Set, Party Box]
Cherry Pie	A flaky pastry filled with cherries. [Kids Set]
Chicken Nuggets	Bite-sized pieces of fried chicken. Finger food! [Junior Set (2nd)]
Chicago	Third largest city in the United States. Our kind of town. [Core Set, Party Box]
Chicken Pox	Infectious disease usually contracted in childhood. Just don't scratch 'em! [Core Expansion 1, Party Box]
Chickens	From incubator to rotisserie in 56 days! Run, chicken, run! [Core Expansion 2, Party Box]
Chimpanzees	Sure, they're related to us; but they don't write, and they NEVER call! [Core Set, Party Box]
China	The most populous country in the world. More than one-fifth of the world's total population lives within its borders. [Core Set, Party Box]
Chinatown	International travel, just around the corner. [Core Expansion 2, Party Box]
Chips & Dip	No double dipping! [Core Expansion 4, Party Box Expansion 1]
Chips & Salsa	Nacho average snack! [Core Expansion 4, Party Box Expansion 1]
Choir Boys	They sound angelic, but ... [Core Expansion 2, Party Box]
Chorus Girls	Long legs and high kicks! [Core Expansion 2, Party Box]
Churches	"Here is the church, and here is the steeple..." [Junior Set (2nd)]
Chutes & Ladders	A game of ups and downs. [Core Expansion 4, Party Box Expansion 1]
Cigarette Burns	Another reason to give up smoking. [Core Expansion 2, Party Box]
Cigarettes	Mind if I smoke? [Core Set, Party Box]
Cinco de Mayo	Marks the victory of the Mexican Army over the French at the Battle of Puebla, in 1862. [Core Set, Party Box]
Cindy Crawford	1966- , American Supermodel. What dreams are made of. [Core Set, Party Box]
Circus Peanuts	Chewy, orange marshmallow things shaped like peanuts. Seldom found at the circus. [Core Expansion 3, Party Box Expansion 1]
Clark Gable	1901-60, American film actor, noted as a romantic lead. Frankly, my dear, he didn't give a damn. [Core Set, Party Box]
Claude Monet	1840-1926, French painter, regarded as one of the leaders on the impressionist movement. [Core Set, Party Box]
Cleaning The Bathroom	It's YOUR turn! [Core Expansion 2, Party Box]
Cleopatra	c. 69-30 BC, Queen of Egypt, noted for love affairs with Julius Caesar and Mark Antony, which came back to bite her in the asp. [Core Set, Party Box]
Cleveland	"Cleveland rocks! Cleveland rocks!" - The Drew Carey Show [Core Expansion 3, Party Box Expansion 1]
Climbing A Tree	Don't go out on a limb! [Junior Set (2nd)]
Clint Eastwood	1930-, American film actor and director, past mayor of Carmel, California. Has earned fistfuls of dollars. [Core Set, Party Box]
Cloned Sheep	Dolly good show! [Core Expansion 3, Party Box Expansion 1]
Clowns	They would be really funny if they weren't so darn scary. [Core Expansion 1, Party Box]
Cocaine	Alkaloid obtained from leaves of the coca plant and used as a local anesthetic and abused as a drug. [Core Set, Party Box]
Cockles & Mussels	"Alive--alive-o!" I think I just lost my appetite. [Core Expansion 4, Party Box Expansion 1]
Cockroaches	Annoying insects that can survive a nuclear war. Fortunately, they can't survive the heel of your shoe. [Core Set, Party Box]
Coconuts	"Put the lime in the coconut, and drank them both up." -Harry Nillson [Core Expansion 2, Party Box]
Cold Pizza	The breakfast of champions. [Core Expansion 1, Party Box]
Colin Powell	1937-, U.S. Secretary of State and Chairman of the Join Chiefs of Staff during the Gulf War. We'd give him four stars. [Core Expansion 3, Party Box Expansion 1]
Comic Books	THIS looks like a job for . . . somebody who draws Superman! [Core Expansion 3, Party Box Expansion 1]
Communists	"From each, according to their ability, to each according to their need." I need a new Ferrari. [Core Set, Party Box]
Commuting	The daily grind. And we're not talking coffee. [Core Set, Party Box]
Computer Hackers	We didn't mean to shut down the entire government ... [Core Expansion 2, Party Box]
Computers	British mathematician Charles Babbage worked out the principles of the modern digital computer in the late 1800s. [Core Set, Party Box]
